age,unit,sex,geo\time	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
TOTAL,PC_POP,T,HU	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	3.4 	3.0 	3.1 	3.2 	3.3 	3.9 	4.1 	4.1 	4.2 i	5.4 	6.1 	6.1 	6.2 	5.8 	4.5 	4.1 	3.1 
TOTAL,PC_POP,T,IE	: 	: 	: 	: 	: 	: 	: 	: 	6.3 	3.9 	2.7 	2.5 	2.8 	3.0 	2.9 	2.9 	3.0 	3.2 	4.3 	7.9 	9.0 	9.4 	9.4 	8.4 	7.3 	6.1 	5.1 
TOTAL,PC_POP,T,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.7 	2.4 	2.1 	2.3 	1.9 	2.4 	5.8 	6.1 	5.6 	4.8 	4.3 	4.0 	3.3 	2.5 
TOTAL,PC_POP,T,IT	: 	: 	: 	: 	: 	: 	: 	: 	5.9 	5.8 	5.4 	4.9 	4.6 	4.6 	4.4 	4.2 	3.7 	3.3 	3.7 	4.2 	4.6 	4.6 	5.9 	6.7 	7.1 	6.7 	6.6 
TOTAL,PC_POP,T,LT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.6 	7.8 	6.7 	5.1 	3.5 	2.6 	3.6 	8.6 	11.1 	9.8 	8.6 	7.6 	7.1 	6.1 	5.3 
TOTAL,PC_POP,T,LU	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.1 	3.0 	2.7 	2.8 i	2.4 	3.0 	3.1 	2.7 	3.0 	3.2 	3.7 	3.7 	4.3 	4.0 
TOTAL,PC_POP,T,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.7 	7.2 	7.3 	6.2 	4.5 	4.0 	5.2 	11.5 	12.6 	10.4 	9.9 	7.8 	7.2 	6.7 	6.6 
TOTAL,PC_POP,T,MT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.6 	4.0 	3.8 	3.6 	3.6 	3.4 	3.2 	3.7 	3.7 	3.5 	3.5 	3.7 	3.4 	3.2 	2.8 
TOTAL,PC_POP,T,NL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	1.9 	1.5 	1.9 i	2.6 	3.2 	3.3 	2.7 	2.3 	2.0 	2.5 	3.1 	3.5 	4.1 	5.1 	5.2 	4.8 	4.2 
TOTAL,PC_POP,T,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2.4 	2.6 	2.8 	2.9 	3.0 	3.2 	2.4 b	1.8 	1.9 	2.3 	2.5 	2.3 	2.2 	2.4 	2.5 	3.1 	3.3 
TOTAL,PC_POP,T,PL	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.7 	10.9 	11.8 	11.4 	11.1 	10.4 	8.0 	5.5 	4.1 	4.8 i	5.8 	5.8 	6.1 	6.3 	5.5 	4.6 	3.8 
TOTAL,PC_POP,T,PT	: 	: 	: 	: 	: 	: 	: 	4.3 i	3.7 	3.3 	3.0 	3.0 	3.8 	4.7 	5.0 	5.7 	5.7 	6.0 	5.7 	7.0 	8.0 	8.6 	10.5 	10.8 	9.2 	8.3 	7.3 
TOTAL,PC_POP,T,RO	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.6 	4.8 	4.3 	5.1 	4.1 i	4.7 	4.1 	4.3 	3.8 	3.4 	4.0 	4.2 	4.2 	4.1 	4.2 	4.1 	4.1 	3.5 
TOTAL,PC_POP,T,SE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.2 b	4.3 	4.8 	5.4 	5.5 	5.0 	4.4 	4.4 	5.9 	6.1 	5.5 	5.7 	5.8 	5.7 	5.4 	5.0 
TOTAL,PC_POP,T,SI	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.5 	4.1 	3.8 	3.9 	4.0 	4.0 	4.2 	3.8 	3.1 	2.8 	3.8 	4.7 	5.2 	5.6 	6.4 	6.2 	5.7 	5.0 
TOTAL,PC_POP,T,SK	: 	: 	: 	: 	: 	: 	: 	: 	7.9 	10.3 	11.9 	12.4 	11.9 	11.2 	11.6 	10.3 	8.4 	7.0 	6.0 	7.6 	9.1 	8.6 i	8.8 	9.0 	8.4 	7.3 	6.2 
TOTAL,PC_POP,T,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.8 	4.1 	4.2 b	4.7 	6.1 	5.3 	4.5 	4.2 	4.6 	5.2 	5.5 	5.9 
TOTAL,PC_POP,T,UK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.7 	3.4 	3.5 	3.4 	3.2 	3.2 	3.7 	3.6 	3.9 	5.2 	5.3 	5.5 	5.4 	5.2 	4.2 	3.7 	3.3 
TOTAL,THS_PER,T,AT	: 	: 	: 	: 	159 	159 	177 	177 	179 	157 	149 	152 	167 	186 i	213 	223 	212 	200 	172 	223 	203 	194 	209 	231 	245 	252 	270 
TOTAL,THS_PER,T,BE	255 	256 	287 	354 	406 	407 	401 	390 	400 	367 	302 	286 	331 	362 	379 	390 	383 	353 	333 	380 	406 	347 	369 	417 	423 	422 	390 
TOTAL,THS_PER,T,BG	: 	: 	: 	: 	: 	343 	329 	417 	362 	402 	561 	670 	614 	453 	404 	338 	309 	242 	202 	240 	352 i	376 	410 	436 	385 	305 	247 
TOTAL,THS_PER,T,CY	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15 	13 	12 	14 	16 i	19 	17 	15 	15 	22 	26 	34 	52 	69 	70 	63 	54 
TOTAL,THS_PER,T,CZ	: 	: 	: 	220 	221 	208 	201 	248 	335 	454 	454 	418 	374 	399 	426 	410 	371 	276 	230 	352 	384 	351 	367 	370 	324 	268 	212 
TOTAL,THS_PER,T,DE	: 	2172 	2573 	3050 	3306 	3205 	3471 	3764 	3682 	3366 	3114 	3059 	3376 	3810 	4127 	4506 i	4104 	3473 	3018 	3098 	2821 	2399 	2224 	2182 	2090 	1950 	1774 
TOTAL,THS_PER,T,DK	205 	225 	246 	271 	213 	188 	178 	148 	137 	147 	122 	130 	131 	155 	160 	140 	114 i	111 	101 	177 	218 	221 	219 	202 	191 	181 	187 
TOTAL,THS_PER,T,EA18	: 	: 	: 	: 	: 	: 	: 	: 	: 	13715 	12606 	11830 	12487 	13337 	13846 	13863 	12897 	11658 	11863 	15022 	15885 	15957 	17995 	19072 	18480 	17317 	16116 
TOTAL,THS_PER,T,EA19	: 	: 	: 	: 	: 	: 	: 	: 	: 	13964 	12880 	12114 	12711 	13541 	14019 	13993 	12985 	11722 	11951 	15233 	16156 	16185 	18192 	19244 	18638 	17451 	16233 
TOTAL,THS_PER,T,EE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	100 	88 	75 	70 	68 	54 	41 	32 	38 i	93 	114 	85 	68 	59 	50 	42 	47 
TOTAL,THS_PER,T,EL	: 	: 	: 	: 	: 	: 	: 	: 	502 	548 	517 	488 	480 	460 i	520 	493 	448 	418 	388 	485 	639 	882 	1195 	1330 	1274 	1197 	1131 
TOTAL,THS_PER,T,ES	2297 	2313 	2602 	3230 	3455 	3279 i	3192 	3007 	2727 	2310 	2095 	1904 	2171 	2267 	2234 	1934 	1841 	1846 	2596 	4154 	4640 	5013 	5811 	6051 	5610 	5056 	4481 
TOTAL,THS_PER,T,EU27	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19737 	19278 	20127 	20632 	21004 	20702 	19101 	16797 	16585 	21180 	22765 	22868 	24974 	25984 	24482 	22575 	20672 
TOTAL,THS_PER,T,EU28	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20021 	19561 	20402 	20887 	21259 	20943 	19316 	16987 	16751 	21360 	22989 	23124 	25266 	26304 	24807 	22879 	20917 
TOTAL,THS_PER,T,FI	82 	168 	292 	405 	408 	382 	363 	314 	285 	261 	253 	238 	237 	235 	229 	220 	204 	183 	172 	221 	224 	209 	207 	219 	232 	252 	237 
TOTAL,THS_PER,T,FR	2007 	2074 	2314 	2591 	2696 	2649 i	2763 	2802 	2715 	2656 	2306 	2114 	2171 	2338 	2459 	2478 	2482 	2268 	2121 	2622 	2680 	2665 	2855 	3026 	3032 	3054 	2972 
TOTAL,THS_PER,T,HR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	284 	283 	274 	255 	255 	241 	215 i	190 	166 	180 	224 	256 	292 	320 	325 	304 	245 
TOTAL,THS_PER,T,HU	: 	: 	: 	: 	: 	391 	395 	358 	350 	279 	256 	228 	229 	240 	252 	302 	317 	312 	326 i	418 	469 	466 	473 	441 	343 	308 	235 
TOTAL,THS_PER,T,IE	176 	197 	209 	216 	203 	177 	174 	152 	123 	96 	75 	72 	83 	87 	88 	90 	97 	105 	146 	268 	303 	317 	316 	282 	243 	204 	173 
TOTAL,THS_PER,T,IS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5445 	4936 	4289 	5027 	4161 	5505 	13077 	13674 	12704 	10874 	9973 	9276 	7635 	5883 
TOTAL,THS_PER,T,IT	2084 p	2023 p	2056 	2296 	2493 	2616 	2619 	2641 	2681 	2593 	2408 	2173 	2058 	2050 	1944 	1877 	1654 	1481 	1664 	1907 	2056 	2061 	2691 	3069 	3236 	3032 	3012 
TOTAL,THS_PER,T,JP	1341 	1363 	1423 	1657 	1921 	2099 	2250 	2302 	2789 	3169 	3197 	3397 	3588 	3503 	3136 	2942 	2751 	2568 	2658 	3367 	3347 	3019 b	2848 	2668 	2380 	2233 	2078 
TOTAL,THS_PER,T,LT	: 	: 	: 	: 	: 	: 	: 	: 	227 	249 	274 	284 	224 	204 	173 	130 	88 	64 	88 	211 	270 	228 	197 	172 	158 	134 	116 
TOTAL,THS_PER,T,LU	3 	3 	3 	4 	5 	5 	5 	5 	5 	4 	4 	4 	5 	7 	10 	9 	9 i	9 	10 	12 	11 	11 	13 	15 	16 	18 	18 
TOTAL,THS_PER,T,LV	: 	: 	: 	: 	: 	: 	: 	: 	: 	158 	158 	148 i	136 	127 	128 	108 	78 	68 	88 	193 	206 	167 	155 	120 	108 	98 	95 
TOTAL,THS_PER,T,MT	: 	: 	: 	: 	: 	7 	8 	10 	10 	11 	10 	12 	11 	12 	11 	11 	11 	11 	10 	12 	12 	11 	11 	12 	11 	11 	9 
TOTAL,THS_PER,T,NL	409 	391 	400 	458 	517 	620 	575 	497 	399 	333 	294 	247 	301 i	395 	466 	489 	419 	355 	318 	381 	435 	434 	516 	647 	660 	614 	538 
TOTAL,THS_PER,T,NO	112 	116 	126 	127 	116 	108 b	106 	89 b	72 	71 	76 	81 	87 	100 	102 	109 	84 b	63 	66 	82 	93 	87 	85 	95 	96 	121 	132 
TOTAL,THS_PER,T,PL	: 	: 	: 	: 	: 	2279 	2241 	1849 	1730 	2300 	2781 	3167 	3423 	3308 	3209 	3018 	2311 	1579 	1165 	1359 i	1650 	1659 	1749 	1793 	1567 	1304 	1063 
TOTAL,THS_PER,T,PT	273 	249 	244 	307 	373 	388 	394 	374 i	308 	281 	262 	269 	327 	395 	413 	470 	478 	494 	476 	574 	645 	688 	835 	855 	729 	648 	571 
TOTAL,THS_PER,T,RO	: 	: 	: 	: 	: 	1248 	847 	717 	726 	820 	875 	831 	866 	767 i	793 	701 	719 	634 	549 	624 	652 	659 	627 	653 	629 	624 	530 
TOTAL,THS_PER,T,SE	80 	143 	252 	401 	412 	391 	426 	437 	362 	300 	253 i	270 b	277 	306 	346 	361 	336 	298 	305 	408 	425 	390 	403 	411 	411 	387 	366 
TOTAL,THS_PER,T,SI	: 	: 	: 	: 	: 	66 	65 	67 	72 	71 	65 	60 	61 	64 	63 	66 	61 	50 	46 	61 	75 	83 	90 	102 	98 	90 	80 
TOTAL,THS_PER,T,SK	: 	: 	: 	: 	: 	291 	269 	279 	315 	414 	482 	504 	484 	457 	480 	427 	353 	293 	254 	321 	386 	363 i	378 	386 	359 	314 	267 
TOTAL,THS_PER,T,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	2056 	1983 	2039 b	2293 	3089 	2739 	2333 	2203 	2449 	2860 	3054 	3330 
TOTAL,THS_PER,T,UK	1967 	2445 	2710 	2857 	2611 	2383 	2228 	1927 	1740 	1696 	1554 	1451 	1503 	1464 	1397 	1441 	1640 	1624 	1757 	2369 	2459 	2559 	2534 	2437 	1996 	1746 	1599 
TOTAL,THS_PER,T,US	7047 	8628 	9613 	8940 	7997 	7404 	7236 	6739 	6210 	5879 	5692 	6801 	8378 	8774 	8149 	7591 	7001 	7077 	8924 	14264 	14825 	13747 	12506 	11459 	9616 	8297 	7751 
